MSB	PRG	LSB	NME	LVL
121	038	047	HybridBa	1
121	038	048	DrOctave	1
121	039	032	SynBass2	0
121	039	033	AttackBa	0
121	039	034	RubberBa	0
121	039	035	AtkPulse	0
121	040	032	Violin	0
121	040	033	SlwVioln	0
121	041	032	Viola	0
121	042	032	Cello	0
121	043	032	Contrbas	0
121	044	032	Trem.Str	0
121	045	032	Pizz.Str	0
121	046	032	Harp	0
121	046	033	YangChin	0
121	047	032	Timpani	0
121	048	032	Strings1	0
121	048	033	Strs&Brs	0
121	048	034	60sStrng	0
121	048	035	StStrngs	1
121	048	036	LegatoSt	1
121	048	037	i3 Strng	1
121	048	038	N String	1
121	048	039	Arco Str	1
121	048	040	OctavStr	1
121	048	041	StrQuart	1
121	048	042	SymBowed	1
121	048	043	Ens&Solo	1
121	048	044	CameraS.	1
121	048	045	Arab Str	1
121	049	032	Strings2	0
121	049	033	SwprStr.	1
121	050	032	Syn.Str1	0
121	050	033	AnalgStr	1
121	050	034	AnlgVlvt	1
121	050	035	OdissyS.	1
121	050	033	Syn.Str3	0
121	051	032	Syn.Str2	0
121	052	032	ChoirAah	0
121	052	033	ChoirAh2	0
121	052	034	OohVoice	1
121	052	035	SlwOohVx	1
121	052	036	TakeVoix	1
121	052	037	TakeVox2	1
121	052	038	OohChoir	1
121	052	039	AahChoir	1
121	052	040	MmhChoir	1
121	052	041	OohAhVox	1
121	052	042	SlwChoir	1
121	052	043	GrdChoir	1
121	052	044	LitChoir	1
121	052	045	StrChoir	1
121	053	032	VoiceOoh	0
121	053	033	VoiceHum	0
121	054	032	SynVoice	0
121	054	033	AnalgVox	0
121	055	032	Orch.Hit	0
121	055	033	BassHit+	0
121	055	034	6th Hit	0
121	055	035	Euro Hit	0
121	055	036	BrsImpct	1
121	055	037	HtInInda	1
121	055	038	Wild Arp	1
121	055	039	FlipBlip	1
121	056	032	Trumpet	0
121	056	033	Dark Trp	0
121	056	034	Trumpet2	1
121	056	035	Mono Trp	1
121	056	036	Trp.Expr	1
121	056	037	TrpPitch	1
121	056	038	Dual Trp	1
121	056	039	FlugelHr	1
121	056	040	WrmFlugl	1
121	056	041	BeBpCrnt	1
121	057	032	Trombone	0
121	057	033	Trombon2	0
121	057	034	BrtTromb	0
121	058	032	Tuba	0
121	059	032	MutedTrp	0
121	059	033	MuteTrp2	0
121	059	034	WahTrmpt	1
121	059	035	MutedEns	1
121	059	036	MuteEns2	1
121	060	032	FrchHorn	0
121	060	033	FrHorn 2	0
121	060	034	FrHrSect	1
121	060	035	ClsFrHrn	1
121	060	036	HornOrch	1
121	061	032	BrasSect	0
121	061	033	BrsSect2	0
121	061	034	TightBrs	1
121	061	035	GlenFrnd	1
121	061	036	BigBndBr	1
121	061	037	Sax&Bras	1
121	061	038	GlenBoys	1
121	061	039	Trp&Bras	1
121	061	040	AtakBras	1
121	061	041	TrumpEns	1
121	061	042	TrombEns	1
121	061	043	Trombons	1
121	061	044	TightBr2	1
121	061	045	FatBrass	1
121	061	046	DynaBras	1
121	061	047	BrasExpr	1
121	061	048	BrasBand	1
121	061	049	FilmBras	1
121	061	050	SlwBrass	1
121	061	051	Fanfare	1
121	061	052	MovieBrs	1
121	061	053	PwrBrass	1
121	061	054	DynaBrs2	1
121	061	055	SforzBrs	1
121	061	056	DoublBrs	1
121	061	057	BrassHit	1
121	061	058	BrasFall	1
121	062	032	SynBrass	0
121	062	033	SynBras3	0
121	062	034	AnalgBrs	0
121	062	035	JumpBras	0
121	062	036	ElecBras	1
121	062	037	SynBras5	1
121	063	032	SynBras2	0
121	063	033	SynBras4	0
121	063	034	AnlgBrs2	0
121	063	035	BrassPad	1
121	063	036	BigPannr	1
121	064	032	SprnoSax	0
121	065	032	Alto Sax	0
121	066	032	TenorSax	0
121	066	033	NzyTenor	1
121	066	034	SoftTenr	1
121	066	035	BrthTnSx	1
121	066	036	GrwlTnSx	1
121	066	037	Folk Sax	1
