MSB	PRG	LSB	NME	ELC
121	031	001	GtFeedbk	0
121	032	000	Aco.Bass	0
121	033	000	FngrBass	0
121	033	001	FngrSlap	1
121	034	000	PickBass	0
121	035	000	Fretless	0
121	036	000	SlapBass	0
121	037	000	SlapBas2	0
121	038	000	SynBass1	0
121	038	001	WarmBass	0
121	038	002	ResoBass	0
121	038	003	Clv.Bass	1
121	038	004	HammerBa	1
121	039	000	SynBass2	1
121	039	001	AttackBa	1
121	039	002	RubberBa	1
121	039	003	AtkPulse	0
121	040	000	Violin	0
121	040	001	SlwVioln	0
121	041	000	Viola	0
121	042	000	Cello	0
121	043	000	Contrbas	0
121	044	000	Trem.Str	0
121	045	000	Pizz.Str	0
121	046	000	Harp	0
121	046	001	YangChin	1
121	047	000	Timpani	0
121	048	000	Strings1	0
121	048	001	Strs&Brs	1
121	048	002	60sStrng	1
121	049	000	Strings2	0
121	050	000	Syn.Str1	1
121	050	001	Syn.Str3	1
121	051	000	Syn.Str2	1
121	052	000	ChoirAah	0
121	052	001	ChoirAh2	1
121	053	000	VoiceOoh	0
121	053	001	VoiceHum	0
121	054	000	SynVoice	0
121	054	001	AnalgVox	0
121	055	000	Orch.Hit	1
121	055	001	BassHit+	1
121	055	002	6th Hit	0
121	055	003	Euro Hit	0
121	056	000	Trumpet	0
121	056	001	SoftDTrp	0
121	057	000	Trombone	0
121	057	001	Trombon2	1
121	057	002	BrtTromb	0
121	058	000	Tuba	0
121	059	000	MutedTrp	0
121	059	001	MuteTrp2	1
121	060	000	FrchHorn	1
121	060	001	FrHorn 2	1
121	061	000	BrasSect	0
121	061	001	BrsSect2	1
121	062	000	SynBrass	1
121	062	001	SynBras3	1
121	062	002	AnalgBrs	1
121	062	003	JumpBras	1
121	063	000	SynBras2	0
121	063	001	SynBras4	1
121	063	002	AnlgBrs2	1
121	064	000	SprnoSax	0
121	065	000	Alto Sax	0
121	066	000	TenorSax	0
121	067	000	Bari.Sax	0
121	068	000	Oboe	1
121	069	000	Eng.Horn	0
121	070	000	Bassoon	0
121	071	000	Clarinet	0
121	072	000	Piccolo	0
121	073	000	Flute	0
121	074	000	Recorder	0
121	075	000	PanFlute	0
121	076	000	BotlBlow	1
121	077	000	Shakhchi	1
121	078	000	Whistle	0
121	079	000	Ocarina	0
121	080	000	SquareLd	1
121	080	001	SqrLead2	0
121	080	002	SineLead	0
121	081	000	Saw Lead	1
121	081	001	SawLead2	0
121	081	002	Dr. Lead	1
121	081	003	DoublSaw	1
121	081	004	SeqAnalg	1
121	082	000	CaliopLd	1
121	083	000	Chiff Ld	1
121	084	000	CharanLd	1
121	084	001	WireLead	1
121	085	000	Voice Ld	1
121	086	000	Fifth Ld	1
121	087	000	Bass&Ld	1
121	087	001	SftWhirl	1
121	088	000	NewAgePd	1
121	089	000	Warm Pad	1
121	089	001	Sine Pad	1
121	090	000	PolySyPd	1
121	091	000	ChoirPad	1
121	091	001	Itopia	1
121	092	000	BowedPad	1
121	093	000	MetalPad	1
121	094	000	Halo Pad	1
121	095	000	SweepPad	1
121	096	000	Ice Rain	1
121	097	000	SoundTrk	1
121	098	000	Crystal	1
121	098	001	SynMalet	0
121	099	000	Atmosphr	1
121	100	000	Bright	1
121	101	000	Goblins	1
121	102	000	Echoes	1
121	102	001	EchoBell	1
121	102	002	Echo Pan	1
121	103	000	Sci-Fi	1
121	104	000	Sitar	0
121	104	001	Sitar 2	1
121	105	000	Banjo	0
121	106	000	Shamisen	0
121	107	000	Koto	0
121	107	001	TaishoKn	1
121	108	000	Kalimba	0
121	109	000	Bagpipe	1
121	110	000	Fiddle	0
121	111	000	Shanai	0
121	112	000	TnklBell	1
121	113	000	Agogo	1
121	114	000	SteelDrm	1
121	115	000	Woodblok	0
121	115	001	Castanet	0
121	116	000	Taiko	0
121	116	001	Gr.Cassa	0
121	117	000	MelodTom	1
121	117	001	Mel Tom2	0
121	118	000	Syn Drum	0
121	118	001	AnalgTom	0
121	118	002	ElecPerc	1
121	119	000	RevCymbl	0
121	120	000	FretNoiz	1
121	120	001	CutNoise	0
121	120	002	Str Slap	0
121	121	000	BrthNoiz	1
121	121	001	Fl.KClik	0
121	122	000	Seashore	1
121	122	001	Shower	0
121	122	002	Thunder	0
121	122	003	Wind	0
121	122	004	Stream	1
121	122	005	Bubble	1
