voiceId	scSqr	scScale
gs3:F.Ba/Hrm		
gs1:PickBass	1	0.75
gs2:PickBass		
gs3:PickBass		
gs3:PickBas2		
gs3:PickBas3	1	0.75
gs3:PickBas4	1	0.75
gs4:DblPikBa		
gs2:M.PkBass		
gs3:PkBa/Hrm		
gs1:Fretless	1	0.75
gs2:Fretless		
gs2:Fretles2		
gs2:Fretles3		
gs2:Fretles4		
gs2:SynFretl		
gs2:SmthFrtl		
gs3:WoodFrtl		
gs1:SlapBass	1	0.90625
gs2:SlapBass		
gs3:Pop Slap		
gs2:ResoSlap		
gs3:UnisnSlp		
gs1:SlapBas2	1	0.6875
gs2:SlapBas2		
gs4:SlpBass3		
gs3:FM Slap		
gs1:SynBass1	1	0.4375
gs2:SynBass1		
gs1:SynBa101	1	0.5625
gs3:CS Bass		
gs3:JP-4 Ba		
gs3:JP-8 Ba		
gs3:P5 Bass		
gs3:JPMG Ba		
gs1:SynBass3	1	0.3125
gs2:AcidBass		
gs2:TB303 Ba		
gs2:TechnoBa		
gs3:TB303Ba2		
gs3:TB303Kik		
gs3:TB303Saw		
gs3:Rubbr303		
gs3:Reso 303		
gs2:ResoSHBa		
gs3:303SqrBa		
gs3:303DstBa		
gs4:Clavi.Ba		
gs4:HammerBa		
gs4:JungleBa		
gs4:SquareBa		
gs4:Sqr.Ba.2		
gs3:ArpgioBa		
gs4:Polak Is		
gs4:VeryCute		
gs4:HitSawBa		
gs4:RingBass		
gs4:AtkSinBa		
gs4:OBSineBa		
gs4:Aux Bass		
gs4:303SqDsB		
gs4:303SqDB2		
gs4:303SqDB3		
gs4:303SqBRv		
gs4:TeeBee		
gs1:SynBass2	2	0.75
gs2:SynBa201		
gs2:ModulrBs		
gs2:Seq.Bass		
gs3:MG Bass		
gs3:MGOctBas		
gs3:MGOctBa2		
gs3:MGBlipBa		
gs1:SynBass4	1	0.3125
gs2:BeefFMBa		
gs2:X WireBa		
gs3:Dly Bass		
gs3:X WireBa		
gs3:WreStrBa		
gs3:BlipBass		
gs3:RubbrBa2		
gs4:SynBelBa		
gs4:Odd Bass		
gs1:RubberBa	1	0.3125
gs2:SH101Ba1		
gs2:SH101Ba2		
gs2:SmoothBa		
gs3:SH101Ba3		
gs3:Spike Ba		
gs3:House Ba		
gs3:KG Bass		
gs3:SyncBass		
gs3:MG5th Ba		
gs3:RandomBa		
gs3:WowMG Ba		
gs3:BubbleBa		
gs4:AtkPulse		
gs4:SyncBas2		
gs4:PulseMix		
gs4:MGDistBa		
gs4:SeqBass2		
gs4:3rd Bass		
gs4:MGOctBas		
gs4:SlwEnvBa		
gs4:MildBass		
gs4:DstEnvBa		
gs4:MGLiteBa		
gs4:DstSynBa		
gs4:RiseBass		
gs4:CyberBas		
gs1:Violin	1	0.5625
gs2:Violin		
gs3:Violin		
gs3:ViolnAtk		
gs1:SlwVioln	1	0.6875
gs1:Viola	1	0.5625
gs2:Viola		
gs3:Viola		
gs3:ViolaAtk		
gs1:Cello	1	0.8125
gs2:Cello		
gs3:Cello		
gs3:CelloAtk		
gs1:Contrbas	1	0.71875
gs2:Contrbas		
gs3:Contrbas		
gs4:Contrbas		
gs1:Trem.Str	1	0.5625
gs2:Trem.Str		
gs4:TrmStrSt		
gs2:SlwTrStr		
gs2:Susp.Str		
gs4:SuspStr2		
gs1:Pizz.Str	1	0.75
gs2:Pizz.Str		
gs3:VcCbPizz		
gs3:ChmbrPiz		
gs3:St. Pizz		
gs3:SoloPizz		
gs3:SoloSpic		
gs4:StrsSpic		
gs1:Harp	1	0.84375
gs2:Harp		
gs4:Harp&Str		
gs4:Harp St.		
gs4:UileanHp		
gs3:Syn.Harp		
gs4:YangChin		
gs4:YangQin2		
gs4:SynYanQn		
gs1:Timpani	1	1
gs2:Timpani		
gs1:Strings1	1	0.6875
gs2:Strings1		
gs3:Strings1		
gs4:Strings1		
gs2:Slow Str		
gs3:BriteStr		
gs3:ChmbrStr		
gs3:CellSect		
gs4:Brt.Str2		
gs4:Brt.Str3		
gs4:Quad Str		
gs4:Mild Str		
gs1:Orch.Str	1	0.4375
gs2:OrchStr2		
gs2:TremOrch		
gs2:ChoirStr		
gs3:Str&FrHr		
gs4:Str+Flut		
gs4:ChoirS.2		
gs4:ChoirS.3		
gs2:StStrngs		
gs4:St.Strs2		
gs4:St.Strs3		
gs4:OrchStr3		
gs4:OrchStr4		
gs2:Velo.Str		
gs3:OctavStr		
gs3:OctStr.2		
gs4:ContraSc		
gs4:60s Strs		
gs1:Strings2	1	0.4375
gs2:Strings2		
gs3:Strings2		
gs4:Strings2		
gs2:SlowStr2		
gs4:SlowStr3		
gs2:LegatoSt		
gs2:Warm Str		
gs2:StSlwStr		
gs4:StSlStr2		
gs4:StStr+Ch		
gs4:StStrCh2		
gs1:Syn.Str1	1	0.53125
gs2:Syn.Str1		
gs3:Syn.Str1		
gs2:OB Str.		
gs3:StackStr		
gs3:JP Str.		
gs4:Chor.Str		
gs1:Syn.Str3	1	0.4375
gs3:Syn.Str4		
gs4:Syn.Str6		
gs4:Syn.Str7		
gs4:LoFi Str		
gs3:High Str		
gs3:HybrdStr		
gs3:Tron Str		
gs3:NoizyStr		
gs1:Syn.Str2	2	0.3125
gs3:Syn.Str5		
gs3:JUNO Str		
gs4:FiltOrch		
gs4:JPSawStr		
gs4:HybrStr2		
gs4:Dist.Str		
gs4:JUNOFull		
gs3:Air Str.		
gs4:AtkSyStr		
gs4:StraiStr		
gs1:ChoirAah	1	0.6875
gs2:ChoirAah		
gs3:ChoirAah		
gs2:St.Choir		
gs2:MltChoir		
gs3:ChurchCh		
gs4:BoyChoir		
gs4:BoysCh.2		
gs4:StBoyCh.		
gs4:Rich Ch.		
gs3:ChoirHah		
gs3:ChoirLah		
gs2:ChoirAh2		
gs3:MaleC.Ah		
gs1:VoiceOoh	1	0.625
gs4:VoiceOoh		
gs4:Chor.Ooh		
gs4:VoiceOh2		
gs4:ChorOoh2		
gs4:OohsMaj7		
gs4:OohsSus4		
gs4:JazzScat		
gs3:VoiceDah		
gs4:JazzyDah		
gs4:JazzyBah		
gs4:JazzyDow		
gs4:JazzThum		
gs4:Fem. Lah		
gs4:FemChoLa		
gs4:Fem. Luh		
gs4:FemChoLu		
gs4:Fem. Lan		
gs4:FemChLan		
gs4:Fem. Aah		
gs4:Fem. Uuh		
gs4:F.La&Lan		
gs4:Male Wah		
gs4:MalChoWa		
gs4:Male Woh		
gs4:MalChoWo		
gs4:Male Aah		
gs4:Male Ooh		
gs4:Humming		
gs1:SynVoice	1	0.625
gs4:Syn Vox		
gs4:SynVox 2		
gs2:SyVoice2		
gs3:SlntNght		
gs4:SyVoice3		
gs3:VP330		
gs3:VnlChoir		
gs4:JX8P Vox		
gs4:AnalgVox		
gs1:Orch.Hit	1	0.625
gs2:Orch.Hit		
gs4:Bass Hit		
gs4:6th Hit		
gs4:Euro Hit		
gs2:ImpactHt		
gs2:PhillyHt		
gs2:DoublHit		
gs3:Perc.Hit		
gs3:ShockWav		
gs4:BounceHt		
gs4:DrillHit		
gs4:ThrillHt		
gs2:LoFiRave		
gs3:TechnoHt		
gs3:Dist.Hit		
gs3:Bam Hit		
gs3:Bit Hit		
gs3:Bim Hit		
gs3:Tkng Hit		
gs3:Rave Hit		
gs3:Str. Hit		
gs3:StackHit		
gs4:Indus.Ht		
gs4:Clap Hit		
gs1:Trumpet	1	0.5
gs2:Trumpet		
gs3:Trumpet		
gs4:Trumpet		
gs2:Trumpet2		
gs3:Trumpet3		
gs4:Dark Trp		
gs4:Trp&Noiz		
gs2:FlugelHr		
gs3:4th Trp		
gs2:BriteTrp		
gs2:Warm Trp		
gs4:WarmTrp2		
gs4:Twin Trp		
gs3:Syn Trp		
gs1:Trombone	2	0.625
gs2:Trombone		
gs3:Trombone		
gs4:Trombone		
gs1:Trombon2	1	0.4375
gs3:Twinbone		
gs4:Trom&Tba		
gs4:BrtTromb		
gs3:BassTrom		
gs4:Eufonium		
gs1:Tuba	1	0.9375
gs2:Tuba		
gs2:Tuba 2		
gs4:Tuba+Hrn		
gs1:MutedTrp	1	0.5
gs2:MutedTrp		
gs4:CMuteTrp		
gs4:MuteTrp2		
gs4:MuteTrp3		
gs3:MutedHrn		
gs1:FrchHorn	1	0.5
gs2:FrchHorn		
gs1:FrHorn 2	1	0.5625
gs3:Hrn+Orch		
gs3:WideFrHr		
gs2:FrHrSolo		
gs3:SlwFrHrn		
gs3:DualFrHr		
