MSB	PRG	LSB	NME
000	094	065	ChorusPd
000	095	000	SweepPad
000	095	020	Shwimmer
000	095	027	Converge
000	095	064	PolarPad
000	095	066	Celstial
000	096	000	Ice Rain
000	096	045	ClaviPad
000	096	064	HrmoRain
000	096	065	AfrcWind
000	096	066	Carib
000	097	000	SoundTrk
000	097	027	Prologue
000	097	064	Ancestrl
000	098	000	Crystal
000	098	012	SynDrCmp
000	098	014	Popcorn
000	098	018	TinyBell
000	098	035	RndGlock
000	098	040	GlockChi
000	098	041	ClearBel
000	098	042	ChorBell
000	098	064	SynMalet
000	098	065	SftCryst
000	098	066	LoudGlok
000	098	067	ChrsBell
000	098	068	VibraBel
000	098	069	DigiBell
000	098	070	AirBells
000	098	071	BellHarp
000	098	072	Gamelmba
000	099	000	Atmosphr
000	099	018	WarmAtms
000	099	019	HollwRls
000	099	040	NylonEP.
000	099	064	NylnHarp
000	099	065	Harp Vox
000	099	066	AtmosPad
000	099	067	Planet
000	100	000	Bright
000	100	064	FantaBel
000	100	096	Smokey
000	101	000	Goblins
000	101	064	GobSynth
000	101	065	Creeper
000	101	066	Ring Pad
000	101	067	Ritual
000	101	068	ToHeaven
000	101	070	Night
000	101	071	Glisten
000	101	096	BelChoir
000	102	000	Echoes
000	102	008	Echoes 2
000	102	014	Echo Pan
000	102	064	EchoBell
000	102	065	Big Pan
000	102	066	SynPiano
000	102	067	Creation
000	102	068	StarDust
000	102	069	Reso&Pan
000	103	000	Sci-Fi
000	103	064	Starz
000	104	000	Sitar
000	104	032	DetSitar
000	104	035	Sitar 2
000	104	096	Tambra
000	104	097	Tamboura
000	105	000	Banjo
000	105	028	MuteBnjo
000	105	096	Rabab
000	105	097	Gopichnt
000	105	098	Oud
000	106	000	Shamisen
000	107	000	Koto
000	107	096	TaishoKn
000	107	097	Kanoon
000	108	000	Kalimba
000	109	000	Bagpipe
000	110	000	Fiddle
000	111	000	Shanai
000	111	064	Shanai 2
000	111	096	Pungi
000	111	097	Hichriki
000	112	000	TnklBell
000	112	096	Bonang
000	112	097	Altair
000	112	098	Gamelan
000	112	099	S.Gameln
000	112	100	Rama Cym
000	112	101	AsianBel
000	113	000	Agogo
000	114	000	SteelDrm
000	114	097	GlasPerc
000	114	098	ThaiBell
000	115	000	Woodblok
000	115	096	Castanet
000	116	000	Taiko
000	116	096	Gr.Cassa
000	117	000	MelodTom
000	117	064	Mel Tom2
000	117	065	Real Tom
000	117	066	Rock Tom
000	118	000	Syn Drum
000	118	064	Anal.Tom
000	118	065	ElecPerc
000	119	000	RevCymbl
000	120	000	FretNoiz
000	121	000	BrthNoiz
000	122	000	Seashore
000	123	000	Tweet
000	124	000	Telphone
000	125	000	Helicptr
000	126	000	Applause
000	127	000	Gunshot
064	000	000	CutNoise
064	001	000	CutNoiz2
064	002	000	DstCutNz
064	003	000	Str Slap
064	004	000	B.Slide
064	005	000	P.Scrape
064	016	000	Fl.KClik
064	032	000	Shower
064	033	000	Thunder
064	034	000	Wind
064	035	000	Stream
064	036	000	Bubble
064	037	000	Feed
064	038	000	Cave
064	048	000	Dog Woof
064	049	000	HorseGlp
064	050	000	BirdTwit
064	051	000	Kitty
064	052	000	Growl
064	053	000	Haunted
064	054	000	Ghost
064	055	000	Maou
064	056	000	Insects
064	057	000	Bacteria
064	064	000	PhonCall
064	065	000	DoorSqek
064	066	000	DoorSlam
064	067	000	ScratchC
064	068	000	Scratch2
064	069	000	WindChim
064	070	000	TeleFon2
064	071	000	Scratch3
064	072	000	Turn Tbl
064	080	000	CarStart
064	081	000	CarTyreS
064	082	000	Car Pass
064	083	000	CarCrash
064	084	000	Siren
064	085	000	Train
064	086	000	JetPlane
064	087	000	Starship
064	088	000	Burst
064	089	000	Coaster
064	090	000	Submarin
064	091	000	Connect
064	092	000	Mystery
064	093	000	Charging
064	096	000	LaughVox
064	097	000	ScreamVx
064	098	000	Punch
064	099	000	Heart
064	100	000	Footstep
064	101	000	Applauz2
064	112	000	MchinGun
064	113	000	LaserGun
064	114	000	Xplosion
064	115	000	Firework
064	116	000	Fireball
120	000	000	Standard
120	001	000	Standrd2
120	002	000	Standrd3
120	008	000	Room Kit
120	009	000	HipHopKt
120	010	000	JungleKt
120	011	000	TechnoKt
120	016	000	PowerKit
120	024	000	Electro
120	025	000	AnalogKt
120	026	000	DanceKit
120	032	000	Jazz Kit
120	040	000	BrushKit
120	048	000	Orch.Kit
120	049	000	EthnicKt
120	050	000	KikSnare
120	052	000	AsianKit
120	053	000	CymbalKt
120	056	000	SFX Kit
120	057	000	RyFX Kit
120	058	000	RyFX2 Kt
120	127	000	MT-32 Kt
121	000	000	GrandPno
121	000	001	GrndPnoK
121	000	002	MelloGrP
121	001	000	BritePno
121	001	001	BritPnoK
121	002	000	EGrndPno
121	002	001	EGndPnoK
121	003	000	HnkyTonk
121	003	001	HnkyTnkK
121	004	000	El.Piano
121	004	001	ChorusEP
121	004	002	VX E.Pno
121	004	003	60sElPno
121	005	000	ElPiano2
121	005	001	Chor.EP2
121	005	002	VX EPno2
121	005	003	DX Legnd
121	005	004	DX Phase
121	006	000	Hrpschrd
121	006	001	Hpschrd3
121	006	002	HpschrdK
121	006	003	Hpschrd2
121	007	000	Clvichrd
121	007	001	PlsClavi
121	008	000	Celesta
121	009	000	Glocken
121	010	000	MusicBox
121	011	000	Vibrafon
121	011	001	VibrafnK
121	012	000	Marimba
121	011	001	MarimbaK
121	013	000	Xylophon
121	014	000	TubulBel
121	014	001	ChrchBel
121	014	002	Carillon
121	015	000	Dulcimer
121	016	000	DrawOrgn
121	016	001	DetDrwOr
121	016	002	60sDrOrg
121	016	003	DrawOrg2
121	017	000	PercOrgn
121	017	001	DetPrcOr
121	017	002	PercOrg2
121	018	000	RockOrgn
121	019	000	ChrchOrg
121	019	001	ChurOrg2
121	019	002	ChurOrg3
121	020	000	ReedOrgn
121	020	001	Puff Org
121	021	000	Acordion
121	021	001	AccordIt
121	022	000	Harmnica
121	023	000	TangoAcd
121	024	000	NylonGtr
121	024	001	Ukulele
121	024	002	NylonGt3
121	024	003	NylonGt2
121	025	000	SteelGtr
121	025	001	12StrGtr
121	025	002	Mandolin
121	025	003	Stl&Body
121	026	000	Jazz Gtr
121	026	001	PdlSteel
121	027	000	CleanGtr
121	027	001	ChorusGt
121	027	002	MidT.Gtr
121	028	000	MutedGtr
121	028	001	Funk Gtr
121	028	002	FunkGtr2
121	028	003	Jazz Man
121	029	000	OvrDrvGt
121	029	001	Gt.Pinch
121	030	000	Dist.Gtr
121	030	001	FeedbkGt
121	030	002	DstRthmG
121	031	000	GtrHarmo
121	031	001	GtFeedbk
121	032	000	Aco.Bass
121	033	000	FngrBass
121	033	001	FngrSlap
121	034	000	PickBass
121	035	000	Fretless
121	036	000	Slp.Bass
121	037	000	SlpBass2
121	038	000	Syn.Bass
121	038	001	SynBs1Dk
121	038	002	AcidBass
121	038	003	Clv.Bass
121	038	004	Hammer
121	039	000	SynBass2
121	039	001	DX Bass
121	039	002	RubberBa
121	039	003	AtkPulse
121	040	000	Violin
121	040	001	SlwVioln
121	041	000	Viola
121	042	000	Cello
121	043	000	Contrbas
121	044	000	Trem.Str
121	045	000	Pizz.Str
121	046	000	Harp
121	046	001	YangChin
121	047	000	Timpani
121	048	000	Strings
121	048	001	OrcheStr
121	048	002	60sStrng
121	049	000	Strings2
121	050	000	Syn. Str
121	050	001	Syn.Str3
121	051	000	Syn.Str2
121	052	000	ChoirAah
121	052	001	ChoirAh2
121	053	000	VoiceOoh
121	053	001	VoiceHum
121	054	000	SynVoice
121	054	001	AnalVoix
121	055	000	Orch.Hit
121	055	001	BassHit+
121	055	002	6th Hit
121	055	003	Euro Hit
121	056	000	Trumpet
121	056	001	SoftDTrp
121	057	000	Trombone
121	057	001	Trombon2
121	057	002	BrtTromb
121	058	000	Tuba
121	059	000	MutedTrp
121	059	001	MuteTrp2
121	060	000	FrchHorn
121	060	001	FrHorn 2
121	061	000	BrasSect
121	061	001	BrsSect2
121	062	000	SynBrass
121	062	001	SynBras3
121	062	002	Anal.Brs
121	062	003	JumpBras
121	063	000	SynBras2
121	063	001	SynBras4
121	063	002	AnalBrs2
121	064	000	SprnoSax
121	065	000	Alto Sax
121	066	000	TenorSax
121	067	000	Bari.Sax
121	068	000	Oboe
121	069	000	Eng.Horn
121	070	000	Bassoon
121	071	000	Clarinet
121	072	000	Piccolo
121	073	000	Flute
121	074	000	Recorder
121	075	000	PanFlute
121	076	000	BotlBlow
121	077	000	Shakhchi
121	078	000	Whistle
121	079	000	Ocarina
121	080	000	SquareLd
121	080	001	SqrLead2
121	080	002	SineLead
121	081	000	Saw Lead
121	081	001	SawLead2
